PartNumber,Description,Units,PackPieces,LengthFt,Color,Category
GEL1TJCBBW,J Trim 12ft BRIGHT WHITE,pkg,10,12,BRIGHT WHITE,J
GERLCTCEBW,Cove Trim 12ft BRIGHT WHITE,pkg,5,12,BRIGHT WHITE,Cove
TEMUTBEBWH,Crown/Base Base 16ft NUFORM WHITE,pkg,10,16,NUFORM WHITE,CrownBaseBase
TEMUTCEBWH,Crown/Base Cap 16ft NUFORM WHITE,pkg,10,16,NUFORM WHITE,CrownBaseCap
GEL2SECEBW,Inside Corner 12ft BRIGHT WHITE,pkg,5,12,BRIGHT WHITE,CornerInside
GEL1SECEBW,Outside Corner 12ft BRIGHT WHITE,pkg,10,12,BRIGHT WHITE,CornerOutside
GEL1TJEBWH,J Trim 16ft NUFORM WHITE,pkg,10,16,NUFORM WHITE,J
GEL2PLCAWH,R3 Panel 12ft NUFORM WHITE,pcs,1,12,NUFORM WHITE,Panel
GEL1PLDAWH,Mono Panel 14ft NUFORM WHITE,pcs,1,14,NUFORM WHITE,Panel
